Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-157.565	0	-157.565	13.7467	0.282247	0.0724409	0.0127782	0.0629615	0.0394351	0.0537362	0.484278	0.0802504	0.0545703	0.00709762	0.0372543	0.17614	0.0472895	0.103689	0.0985243	0.0578174	0.1767	0.0111188	0.00637009	0.0529488	0.0666592	0.0754748	0.207654	0.288816	0.0920737	0.156605	0.0432106	0.0650775	0.1409	0.141126	0.0163433	0.0491211	0.185069	0.0461695	0.129927	0.0282875	0.0356563	0.0459831	0.0646316	0.0623687	0.0765263	0.0383422	0.169804	0.0121302	0.0715578	0.0979057	0.484237	0.190151	0.144018	0.680991	0.892949	1.06567	1.36039	0.0823521	0.214805	0.171076	0.531767	4.14347
210	-161.297	0	-161.297	75.3707	0.327738	0.0014486	0.172542	0.0629615	0.0480662	0.152714	0.12498	0.046381	0.0530951	0.00466409	0.0122662	0.00938584	0.00853798	0.103689	0.421431	0.00153564	0.1767	0.0772858	0.00291047	0.0482262	0.0567896	0.0699307	0.304217	0.0792208	0.0349717	0.185994	0.189757	0.113591	0.242887	0.0958491	0.0163433	0.0356522	0.015858	0.0461695	0.0873343	0.0219806	0.211726	0.165906	0.0140393	0.0434406	0.0188638	0.0245423	0.171647	0.173275	0.0549474	0.1703	0.252317	0.117313	0.231848	0.85762	0.958909	1.03351	1.14996	0.0646685	0.283107	0.307593	0.344631	4.10327
220	-157.389	0	-157.389	27.4981	0.0914006	0.0018919	0.0423912	0.0907128	0.0952073	0.251232	0.291873	0.0651972	0.0530951	0.0315091	0.0122662	0.00383396	0.118043	0.0710022	0.087145	0.117033	0.0533173	0.0772858	0.139789	0.0482262	0.0567896	0.108438	0.145488	0.0679851	0.00286071	0.0446837	0.189757	0.161913	0.183812	0.0958491	0.0913984	0.035304	0.015858	0.0162585	0.00357609	0.140045	0.211726	0.228182	0.0592709	0.0607258	0.0342879	0.0222563	0.0461808	0.0330875	0.0149362	0.25707	0.278874	0.127025	0.289007	0.76908	0.928144	1.05112	1.25166	0.0649341	0.161242	0.364941	0.408883	3.7651
230	-159.207	0	-159.207	15.2742	0.0501288	0.00112206	0.258974	0.0907128	0.00397128	0.0835277	0.488183	0.0222793	0.0530951	0.0192319	0.0667402	0.0363802	0.0171463	0.00186733	0.087145	0.0509013	0.435135	0.0772858	0.0957526	0.0676458	0.0184591	0.0659016	0.02236	0.0495515	0.00286071	0.00386861	0.232299	0.16849	0.0263539	0.0579006	0.187901	0.035304	0.0193969	0.138437	0.117394	0.265547	0.0387901	0.0236738	0.0354367	0.0272481	0.147884	0.0928131	0.0997706	0.0865686	0.0209593	0.0686768	0.0461454	0.179492	0.598157	0.696068	0.899327	1.06341	1.34119	0.155394	0.247555	0.226538	0.370512	3.88487
240	-163.481	0	-163.481	22.5081	0.0994736	0.00115497	0.0235047	0.0907128	0.0373475	0.00608627	0.314218	0.11363	0.00352388	0.0169768	0.0667402	0.0392134	0.045048	0.20088	0.206018	0.104211	0.109562	0.0772858	0.0957526	0.212923	0.0959512	0.0323989	0.00504227	0.0495515	0.00990622	0.00387343	0.185468	0.16849	0.0694241	0.188784	0.0285783	0.035304	0.116647	0.014991	0.117394	0.265547	0.0218697	0.0527241	0.0706626	0.102287	0.0959041	0.0928131	0.0997706	0.172303	0.00528982	0.0266255	0.395253	0.156457	0.244072	0.746234	0.919481	1.0552	1.27909	0.17532	0.195015	0.152477	0.477188	3.78764
250	-156.526	0	-156.526	16.6139	0.0495126	0.00338258	0.00577476	0.0655458	0.0373475	0.0366649	0.422324	0.0815623	0.0522956	0.0169768	0.0158656	0.100867	0.045048	0.0169983	0.0581738	0.0960752	0.288678	0.0772858	0.0612288	0.0959529	0.126368	0.223209	0.0781489	0.132485	0.00990622	0.222316	0.185468	0.241211	0.0582492	0.00748468	0.0522942	0.0583012	0.116647	0.314306	0.014032	0.0372548	0.0808317	0.0428935	0.0706626	0.022489	0.0959041	0.0928131	0.0997706	0.177183	0.00201029	0.123299	0.280509	0.141097	0.275902	0.707644	0.90412	1.06161	1.32662	0.157669	0.236327	0.19515	0.410854	4.01061
260	-166.627	0	-166.627	14.6395	0.11992	0.104194	0.221741	0.0655458	0.0373475	0.0124491	0.376111	0.019563	0.0522956	0.00727453	0.00979636	0.0638629	0.0215712	0.0500625	0.0805212	0.0960752	0.288678	0.103797	0.0612288	0.0959529	0.000436662	0.0147028	0.145556	0.132485	0.278577	0.00490623	0.185468	0.15434	0.0745874	0.0373361	0.0455559	0.128527	0.184986	0.0816577	0.279933	0.0619852	0.0110728	0.02934	0.0167618	0.0593403	0.37713	0.0370997	0.0997706	0.0406134	0.0153892	0.0246836	0.189932	0.0926365	0.636745	0.690072	0.896808	1.06432	1.3488	0.186106	0.222972	0.184123	0.406799	4.32954
270	-179.731	0	-179.731	6.00539	0.0706899	0.104194	0.00536878	0.110686	0.357104	0.0567011	0.320266	0.13633	0.0985555	0.0994753	0.158419	0.0638629	0.00732238	0.0738191	0.092495	0.0853685	0.288678	0.168585	0.0612288	0.258166	0.181801	0.0401875	0.0101152	0.132485	0.0321878	0.00801715	0.266226	0.0602441	0.15184	0.065994	0.0455559	0.195136	0.157561	0.0656232	0.0310901	0.0619852	0.289177	0.063627	0.124874	0.209707	0.185811	0.0370997	0.167811	0.215221	0.00717222	0.131697	0.0885185	0.219878	0.337514	0.539141	0.824658	1.08125	1.55495	0.119623	0.245814	0.33451	0.300053	5.20147
280	-154.95	0	-154.95	2.39733	0.0407379	0.0290614	0.00760046	0.0714748	0.357104	0.0950206	0.124464	0.00108893	0.147706	0.0697601	0.0174009	0.0808947	0.0219704	0.00223705	0.0408419	0.0900217	0.20277	0.111241	0.0455556	0.0052022	0.0581151	0.122137	0.0433931	0.0243304	0.0180141	0.0202698	0.268358	0.0602441	0.0695208	0.039264	0.00826264	0.104425	0.0141099	0.0656232	0.0310901	0.0237745	0.205037	0.0825492	0.124874	0.209707	0.185811	0.0692975	0.00162818	0.250911	0.00509881	0.0109434	0.282522	0.210582	0.239943	0.336501	0.691552	1.07736	1.89458	0.0808931	0.166227	0.281169	0.471711	3.41199
290	-151.313	0	-151.313	15.3321	0.184571	0.0252375	0.0757682	0.0714748	0.0171196	0.11681	0.336088	0.0321666	0.158095	0.0565337	0.0174009	0.0808947	0.0219704	0.0717191	0.0408419	0.0900217	0.20277	0.0739858	0.0455556	0.0247648	0.00933731	0.156574	0.101135	0.0647793	0.0180141	0.0339385	0.136998	0.0383035	0.143794	0.00572926	0.163957	0.104425	0.0141099	0.038531	0.00389251	0.0237745	0.00958943	0.0615758	0.0514646	0.035534	0.0430133	0.0692975	0.00220219	0.222044	0.00148387	0.0996735	0.311304	0.158878	0.206617	0.696598	0.899548	1.06333	1.34052	0.211505	0.203973	0.118527	0.465995	3.07376
