Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-13161	-13089.8	-71.1327	0.258339	0.360906	0.0667619	0.152035	0.162787	0.268132	0.148047	0.309471	0.349962	0.269179	0.296007	0.300886	0.462519	0.235427	0.348913	0.142867	0.325307	0.1192	0.447678	0.18903	0.312946	0.302522	0.551313	0.184987	0.0403211	0.26346	0.173695	0.249196	0.0800927	0.140775	0.00534219	0.0799402	0.073492	0.0190236	0.238859	0.103134	0.0767411	0.218407	0.209271	0.0676703	0.0733525	0.3013	0.0554306	0.246948	0.0169205	0.493179	0.0310934	0.0538025	0.359569	0.0454359	0.0025234	0.0727749	0.518745	3.40596	0.353585	0.368736	0.0559483	0.221731	9.02333
210	-13160.4	-13096.5	-63.8997	0.241785	0.411261	0.0437122	0.152035	0.187378	0.199312	0.0959915	0.214806	0.43711	0.13982	0.338653	0.314374	0.355156	0.238652	0.252379	0.131388	0.287976	0.185052	0.355272	0.239198	0.306484	0.281269	0.473778	0.112554	0.1156	0.187759	0.0741365	0.319714	0.0371503	0.0454054	0.0189703	0.0776552	0.104129	0.0392076	0.192889	0.0892556	0.0851836	0.199844	0.111645	0.0923726	0.135068	0.239844	0.0890058	0.291927	0.0155345	0.44862	0.0268267	0.0493953	0.381632	0.0779917	0.00175075	0.0608247	0.483838	3.45359	0.343093	0.375057	0.059085	0.222765	8.30037
220	-13172.4	-13105.9	-66.5175	0.258531	0.371132	0.0792108	0.0809073	0.241653	0.188594	0.106441	0.310666	0.389804	0.239696	0.359035	0.296798	0.505358	0.264688	0.230913	0.114112	0.260077	0.165632	0.327346	0.154715	0.429954	0.193976	0.501769	0.10096	0.0642884	0.272564	0.088931	0.396001	0.0551711	0.0272323	0.00483328	0.0776552	0.0993112	0.00119547	0.180523	0.135098	0.117746	0.300838	0.151504	0.0563463	0.107125	0.185275	0.0291917	0.297553	0.0142085	0.541993	0.0321907	0.045179	0.315485	0.0509442	0.00253343	0.0729164	0.519134	3.40542	0.338692	0.382392	0.052569	0.226347	8.56182
230	-13163.2	-13095.5	-67.6989	0.238345	0.394513	0.0854936	0.158694	0.165814	0.1816	0.144052	0.258315	0.39323	0.262792	0.347964	0.397208	0.422416	0.256839	0.283228	0.106776	0.266143	0.21019	0.337514	0.241078	0.298415	0.266386	0.416646	0.146136	0.019261	0.119819	0.0392254	0.176464	0.11114	0.091585	0.0683032	0.0709666	0.115624	0.0478698	0.330435	0.11958	0.133072	0.214514	0.192864	0.121824	0.0609817	0.267123	0.0821	0.256168	0.0122127	0.481303	0.0284711	0.0411964	0.365131	0.0716851	0.00161233	0.0584114	0.476253	3.46372	0.350828	0.374029	0.0518578	0.223285	8.68036
240	-13160.4	-13090.3	-70.1337	0.274652	0.382272	0.0435386	0.136672	0.153238	0.217679	0.190282	0.310872	0.27413	0.261008	0.349281	0.337764	0.443894	0.272116	0.284276	0.107709	0.293042	0.164057	0.454476	0.135241	0.310335	0.302797	0.525402	0.197035	0.0688445	0.100174	0.120009	0.353424	0.11114	0.0353034	0.00704896	0.104219	0.0750028	0.000452349	0.29968	0.11958	0.100245	0.213563	0.199758	0.0740383	0.0217356	0.474336	0.086696	0.210745	0.0135369	0.464462	0.0314263	0.0463248	0.375049	0.0692007	0.0034648	0.0849844	0.550674	3.36088	0.350828	0.374029	0.0518578	0.223285	8.92311
250	-13171.8	-13097.3	-74.5081	0.24769	0.320485	0.0266001	0.18201	0.191362	0.213781	0.120542	0.353923	0.403139	0.263987	0.284319	0.417688	0.412022	0.320068	0.287579	0.105908	0.346679	0.251252	0.488934	0.221452	0.455295	0.290384	0.490789	0.111751	0.00872345	0.166424	0.0751749	0.317199	0.0418967	0.174227	0.00553621	0.135585	0.0943626	0.0272442	0.125433	0.132252	0.0860702	0.299535	0.191208	0.130125	0.0969892	0.435099	0.0434222	0.214634	0.0131419	0.530054	0.0305091	0.0298868	0.329227	0.067181	0.00200586	0.0650271	0.49659	3.43638	0.372671	0.360671	0.0513475	0.21531	9.36109
260	-13162.1	-13086	-76.0677	0.256462	0.464415	0.0569545	0.203186	0.280653	0.233577	0.191108	0.304554	0.322607	0.235312	0.408015	0.459623	0.405947	0.296132	0.296181	0.133787	0.354523	0.235669	0.546531	0.157919	0.335486	0.31081	0.578848	0.132388	0.0202082	0.134994	0.0908663	0.296673	0.109084	0.0746257	0.0147695	0.119328	0.0715924	0.0272442	0.333412	0.0969002	0.0730553	0.21977	0.131429	0.0858694	0.0461421	0.18664	0.126086	0.313959	0.0146088	0.46934	0.0339146	0.0414796	0.365977	0.0746801	0.0024267	0.0713947	0.514916	3.41126	0.333539	0.388803	0.0532024	0.224456	9.51688
270	-13162.9	-13091.5	-71.3958	0.273224	0.384887	0.132437	0.102282	0.193987	0.232322	0.155579	0.313367	0.367899	0.261727	0.332219	0.312119	0.520101	0.231455	0.362131	0.150855	0.294344	0.167356	0.473898	0.154031	0.335486	0.247959	0.495855	0.14672	0.0202082	0.171212	0.127358	0.359097	0.135792	0.0746257	0.0159738	0.0567158	0.0824566	0.0602174	0.244731	0.0980352	0.116904	0.219667	0.139494	0.0794448	0.00921252	0.225214	0.129539	0.314436	0.012291	0.515959	0.0285337	0.0403835	0.307911	0.094922	0.00337507	0.083902	0.547973	3.36475	0.350591	0.377332	0.0516012	0.220476	9.04935
280	-13181.7	-13107	-74.6414	0.248415	0.380052	0.0457365	0.121242	0.210186	0.22138	0.202766	0.362465	0.397099	0.231814	0.278735	0.35868	0.440298	0.324268	0.407039	0.10649	0.308766	0.156842	0.441679	0.107992	0.400786	0.243004	0.481233	0.214945	0.0916628	0.180919	0.105547	0.386098	0.165526	0.0746257	0.0312882	0.0737549	0.135517	0.00702838	0.37474	0.123775	0.166704	0.27345	0.141282	0.0128858	0.0886911	0.206159	0.0498569	0.241394	0.0113231	0.589488	0.0262868	0.0372035	0.271459	0.0642405	0.00203869	0.0655474	0.49813	3.43428	0.32952	0.389575	0.0532754	0.22763	9.3744
290	-13172.3	-13098.1	-74.2645	0.254641	0.466906	0.0457365	0.230575	0.234104	0.294852	0.0975334	0.258657	0.364515	0.223931	0.401426	0.350515	0.553671	0.310273	0.263193	0.175351	0.306844	0.17016	0.470586	0.21969	0.341533	0.297269	0.420391	0.15947	0.000371412	0.167787	0.125611	0.282066	0.0633943	0.193868	0.0141351	0.0697918	0.119484	0.0216455	0.247628	0.0866063	0.083602	0.248022	0.242973	0.0190137	0.144581	0.258377	0.0551011	0.235352	0.0133015	0.504768	0.0308796	0.0447807	0.328137	0.0781333	0.00233514	0.0700614	0.511171	3.41643	0.339551	0.385513	0.0523301	0.222606	9.33659
