Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
220	-15722.6	-15706.6	-15.9444	0.0954404	0.0956249	0.135054	0.0708579	0.129338	0.0908443	0.074605	0.138694	0.0843045	0.0756655	0.0649311	0.150012	0.0649474	0.0836369	0.117273	0.105619	0.162691	0.0864777	0.100584	0.144807	0.0514825	0.0859117	0.0860055	0.0319633	0.0671193	0.0365276	0.0218661	0.0210601	0.0426323	0.0292749	0.0227025	0.0250356	0.0207741	0.0562513	0.0188436	0.0691075	0.0255719	0.0210972	0.0515994	0.0353328	0.0307803	0.0430777	0.047275	3.0127
230	-15729.7	-15714.2	-15.5017	0.0902912	0.0826335	0.114543	0.0842872	0.132615	0.114562	0.0708364	0.127583	0.0941917	0.0913307	0.0752429	0.130221	0.0699072	0.100548	0.114496	0.10814	0.153285	0.0603015	0.102403	0.109644	0.0706571	0.091981	0.0815103	0.0246417	0.0630594	0.0456967	0.0176906	0.0210601	0.0429001	0.0310902	0.0217949	0.0287989	0.0272946	0.0577461	0.0277962	0.0754347	0.0325943	0.0269022	0.0345881	0.0197292	0.0138332	0.0302276	0.0543307	2.96842
240	-15725.8	-15709.4	-16.3857	0.0861547	0.101216	0.12096	0.0826603	0.108738	0.102458	0.0756774	0.113806	0.0932735	0.0656248	0.0905421	0.14867	0.0874092	0.104369	0.137609	0.116697	0.159343	0.0877656	0.106408	0.122107	0.0621876	0.0873152	0.0920801	0.0310356	0.0663036	0.0424759	0.0215385	0.0180744	0.0521714	0.0273503	0.0273779	0.036055	0.0222987	0.0377611	0.0263945	0.0787486	0.028087	0.0280508	0.0422404	0.0273206	0.0266012	0.0229127	0.0409514	3.05682
250	-15727.1	-15711.2	-15.841	0.10168	0.107186	0.111763	0.0836624	0.112677	0.0965586	0.0673074	0.102141	0.0899502	0.0914237	0.0945285	0.14555	0.0840757	0.0837288	0.0937117	0.121494	0.17727	0.0801301	0.104686	0.121066	0.0621876	0.0993586	0.0873472	0.0187897	0.0674388	0.0214494	0.0286829	0.0140544	0.0476986	0.0644985	0.0360691	0.0296516	0.00761656	0.0452909	0.0195613	0.0756229	0.0175528	0.0188461	0.0448662	0.0298496	0.0170919	0.0337173	0.0445219	3.00235
260	-15728.7	-15713	-15.6674	0.0775368	0.0933683	0.0997065	0.0680287	0.122162	0.0824538	0.0741179	0.140572	0.0951566	0.0766345	0.0837337	0.136802	0.0843277	0.0875577	0.113858	0.114838	0.167347	0.0731311	0.131605	0.0917207	0.0554558	0.0925087	0.0962233	0.0193531	0.0520771	0.0355498	0.0355688	0.0177099	0.0415592	0.032198	0.0298466	0.0298099	0.0164704	0.0711154	0.0308502	0.0694554	0.0361266	0.0206956	0.0366175	0.0454082	0.0169425	0.0387317	0.0500587	2.98499
270	-15723.9	-15708.1	-15.8457	0.0659666	0.0866931	0.117452	0.0713204	0.133009	0.0979499	0.062076	0.133037	0.0983734	0.094555	0.0703378	0.132041	0.0921527	0.0983812	0.10713	0.113774	0.164224	0.088778	0.101091	0.107825	0.0567463	0.0940228	0.100897	0.0185919	0.0554497	0.0456933	0.028982	0.0154869	0.0433432	0.0369732	0.023896	0.0234445	0.0122839	0.064364	0.0224809	0.0808217	0.0234492	0.0337686	0.0431196	0.0277206	0.0246515	0.0351425	0.0553304	3.00283
280	-15723.3	-15707.2	-16.0461	0.100855	0.0925536	0.106442	0.0659547	0.1213	0.102006	0.0715846	0.120281	0.10672	0.091215	0.0650776	0.115859	0.0760849	0.0963952	0.113384	0.126591	0.163319	0.0577309	0.118786	0.122966	0.0659783	0.0885822	0.0944798	0.0111147	0.084301	0.030593	0.0316187	0.0214437	0.0439299	0.0522623	0.0188402	0.0334723	0.0253594	0.0604483	0.0210918	0.0647754	0.0342106	0.0184037	0.0494884	0.0368518	0.0242229	0.0335038	0.0427869	3.02286
290	-15715	-15699.4	-15.6321	0.0913267	0.109428	0.101921	0.0738749	0.130881	0.0967707	0.0801433	0.111294	0.0864873	0.0762194	0.0751819	0.14671	0.0727563	0.104917	0.119646	0.110599	0.158253	0.0716182	0.116534	0.122966	0.060716	0.0865827	0.0779818	0.00628806	0.0688402	0.030593	0.0217424	0.0221526	0.044158	0.043186	0.0314609	0.0289047	0.020283	0.0491184	0.0243263	0.0827732	0.0314752	0.0236357	0.034238	0.0313297	0.0242229	0.037144	0.0427869	2.98147
300	-15726.6	-15710.2	-16.3648	0.0927371	0.125969	0.130923	0.0864899	0.143754	0.107619	0.0664993	0.132075	0.0968296	0.0851845	0.0726947	0.121899	0.0774829	0.0946577	0.091897	0.11391	0.158143	0.0884187	0.104885	0.124588	0.0613207	0.124731	0.0802441	0.0117322	0.0755809	0.0276234	0.0225387	0.017864	0.0481908	0.0300675	0.0172248	0.023672	0.0240395	0.0632134	0.0140715	0.0524685	0.0264497	0.03077	0.0378642	0.0308261	0.0311281	0.0344549	0.0519998	3.05473
310	-15724.7	-15709.1	-15.6302	0.0796686	0.0925296	0.11881	0.0749421	0.108113	0.097614	0.0705453	0.117306	0.0904939	0.0943999	0.0852088	0.141743	0.0675473	0.0935792	0.109251	0.107721	0.15396	0.0880995	0.106907	0.136257	0.0602978	0.0784662	0.0741217	0.0244726	0.0616565	0.0354777	0.0473263	0.0138647	0.0481908	0.0521202	0.0393166	0.0352513	0.0218727	0.0475612	0.0229674	0.0746559	0.0321923	0.0204762	0.0217141	0.0447906	0.0223414	0.0256354	0.0418113	2.98128
