Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
320	-22119.2	-22041.6	-77.6032	1.26202	0.598607	0.637151	1.17662	0.933634	0.297911	0.968716	0.00376735	0.889869	0.199718	0.473147	0.00253027	0.388569	0.321396	0.141898	0.540069	0.690091	0.145274	0.0846162	0.656607	0.448	10.8602
330	-22118	-22045.5	-72.501	1.13461	0.657024	0.607316	1.0783	0.862783	0.2999	0.866083	0.00189168	0.889869	0.156166	0.48659	0.00169663	0.509476	0.371482	0.0787355	0.456642	0.514273	0.159422	0.0824407	0.670951	0.464342	10.35
340	-22124	-22046.6	-77.3555	1.22496	0.662265	0.660966	1.39892	1.04785	0.24028	0.887555	0.00140417	0.975973	0.192027	0.374779	0.00586891	0.447381	0.340715	0.213884	0.341477	0.665674	0.0728453	0.00933165	0.653229	0.418066	10.8354
350	-22124.5	-22052.4	-72.0192	1.23007	0.529035	0.704533	1.24654	0.796911	0.277858	0.985828	0.00513987	0.827409	0.210616	0.443693	0.00491663	0.548521	0.284003	0.141149	0.46577	0.447885	0.143501	0.017871	0.625434	0.365144	10.3018
360	-22121.3	-22047	-74.3559	1.08379	0.537688	0.68827	1.27406	0.880285	0.309434	0.864418	0.00729924	1.0596	0.166313	0.347398	0.00286001	0.336468	0.410858	0.122321	0.400197	0.699318	0.0643726	0.158428	0.680237	0.441873	10.5355
370	-22127.8	-22057.8	-70.0003	1.07827	0.671043	0.62527	1.16658	0.766274	0.366046	0.829518	0.00704611	0.827743	0.144633	0.370673	0.00112426	0.188534	0.456905	0.169157	0.44223	0.635952	0.149572	0.160215	0.603317	0.439826	10.0999
380	-22120.6	-22049.2	-71.3767	1.16773	0.611279	0.616693	1.17756	0.805671	0.299352	0.810636	0.00704611	0.900989	0.157978	0.350825	6.51009e-05	0.315025	0.202731	0.0900619	0.444506	0.62465	0.204324	0.377698	0.62985	0.442904	10.2376
390	-22119.1	-22041.9	-77.1241	1.26096	0.614065	0.693267	1.34791	0.917376	0.257354	0.993409	0.00306031	0.900989	0.134363	0.419006	0.00147275	0.323058	0.227219	0.103562	0.461126	0.598369	0.201399	0.160079	0.709379	0.484883	10.8123
400	-22124.3	-22043.4	-80.9201	1.24878	0.604903	0.705652	1.3176	0.856233	0.183071	1.19682	0.00261062	1.02994	0.113541	0.535524	0.00268185	0.445902	0.378876	0.100892	0.476666	0.700079	0.0543694	0.0540999	0.703559	0.480108	11.1919
410	-22118.2	-22042.4	-75.8242	1.21655	0.587056	0.640735	1.4749	0.852523	0.230657	0.8271	0.00193982	1.01117	0.128569	0.535524	0.0011404	0.407408	0.30848	0.0759137	0.456065	0.599585	0.177657	0.0726283	0.614318	0.462407	10.6823
420	-22125.5	-22046.9	-78.605	1.20223	0.605916	0.666746	1.34733	1.01979	0.361982	0.728884	0.00219548	1.047	0.157914	0.384654	0.000625339	0.395805	0.266079	0.329032	0.510759	0.515736	0.0925145	0.135925	0.722686	0.466605	10.9604
430	-22119.7	-22041.3	-78.4042	1.29529	0.579655	0.653864	1.31905	0.875146	0.286947	0.753116	0.00018124	1.2129	0.15047	0.384849	0.0054189	0.427262	0.34954	0.0498098	0.466895	0.681854	0.197426	0.207687	0.591902	0.451056	10.9403
440	-22125.7	-22049	-76.6236	1.33167	0.582743	0.670156	1.471	0.862068	0.245744	0.837448	0.00103899	1.04144	0.141909	0.387445	0.00388493	0.335139	0.469932	0.116731	0.408859	0.649713	0.189548	0.164108	0.434425	0.417259	10.7623
