Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	TL
32	-22046.9	-21974.2	-72.6504	1.30594	0.669201	0.575119	1.11999	0.772334	0.26584	1.0933	0.00261005	0.875485	0.159787	0.424664	0.000890437	0.624965	0.278502	0.440918	0.101489	0.524628	0.433908	0.131307	0.19547	0.368577	10.3649
33	-22049.5	-21975.9	-73.6534	1.1024	0.55207	0.730327	1.09707	1.01018	0.233835	0.938081	0.00185508	0.881337	0.19427	0.498258	0.00085247	0.653726	0.380148	0.426986	0.101489	0.600731	0.450179	0.114669	0.0864561	0.410313	10.4652
34	-22047.1	-21976.5	-70.6815	1.33496	0.619296	0.531806	1.14593	0.892514	0.283265	0.798581	0.00596813	0.809677	0.166718	0.416546	0.00134994	0.686105	0.272994	0.445905	0.166242	0.43311	0.569459	0.0742469	0.0605174	0.452865	10.168
35	-22052.1	-21986.4	-65.7552	1.05227	0.63541	0.642271	1.09122	0.786886	0.300386	0.940616	0.00248946	0.833484	0.167453	0.367783	0.00167846	0.473357	0.34894	0.396613	0.178243	0.43311	0.432049	0.0105439	0.206125	0.374488	9.67542
36	-22053.1	-21980.2	-72.911	1.21512	0.516446	0.513189	1.19493	0.799352	0.312075	0.896602	0.00365056	0.997818	0.22682	0.458114	0.00332946	0.668018	0.353852	0.376238	0.0624335	0.634681	0.581152	0.0168089	0.260284	0.300079	10.391
37	-22052	-21977.5	-74.557	1.30531	0.597613	0.681555	1.22564	1.05073	0.248207	0.785027	0.00431645	0.972248	0.160119	0.354815	0.00248981	0.674439	0.188167	0.398806	0.1677	0.385235	0.569602	0.12368	0.156315	0.503579	10.5556
38	-22050.9	-21973.3	-77.6562	1.47882	0.553203	0.722488	1.10289	0.946459	0.257547	1.07726	0.0025814	0.851628	0.134513	0.476231	0.00201539	0.647892	0.425708	0.445433	0.0620814	0.443508	0.715531	0.0704593	0.0704169	0.378847	10.8655
39	-22048.8	-21974.9	-73.8853	1.08664	0.562613	0.632676	1.29458	0.897824	0.242421	0.980958	0.00279818	0.950997	0.174463	0.469216	0.00023595	0.617358	0.118021	0.456189	0.081989	0.496733	0.541045	0.125262	0.25571	0.500699	10.4884
40	-22049	-21976.6	-72.4212	1.15887	0.509315	0.577942	1.37154	0.897824	0.336994	0.983904	0.00324892	0.800825	0.188083	0.404237	0.00267543	0.609995	0.108166	0.39463	0.161789	0.509442	0.635404	0.0644007	0.147051	0.475693	10.342
41	-22052.8	-21982.1	-70.6194	1.04313	0.443674	0.572408	1.36124	0.943115	0.278307	0.970407	0.00202049	0.801067	0.175564	0.373284	0.00166862	0.466522	0.201426	0.42528	0.136226	0.488776	0.628506	0.212548	0.111312	0.525356	10.1618
42	-22045.1	-21973.4	-71.6637	1.22795	0.614358	0.630081	1.23903	0.905823	0.285842	0.879639	0.00628019	0.934961	0.14875	0.434413	0.00297868	0.619962	0.338046	0.447626	0.176453	0.413879	0.452225	0.0748279	0.0297222	0.403422	10.2663
43	-22049.2	-21976.8	-72.4216	1.15443	0.577483	0.749363	1.08786	0.949027	0.233658	1.02581	0.00369831	0.902947	0.169194	0.423769	0.0055446	0.636381	0.221156	0.445184	0.0874207	0.369946	0.563307	0.189288	0.103719	0.442869	10.3421
44	-22055	-21981.3	-73.642	1.21094	0.813258	0.524311	1.32793	0.968989	0.278723	1.00768	0.00253136	0.784388	0.200583	0.463128	0.00906827	0.621716	0.352324	0.385357	0.108922	0.494421	0.473861	0.105637	0.166184	0.164145	10.4641
45	-22043.3	-21971.2	-72.1338	1.25287	0.636468	0.635044	1.08336	0.863753	0.272046	0.781245	7.32261e-05	0.841251	0.164652	0.43358	0.00403375	0.685184	0.298755	0.434724	0.125846	0.54926	0.624727	0.122275	0.166602	0.337524	10.3133
46	-22051.6	-21982.4	-69.261	1.04318	0.514699	0.676625	1.02691	0.925759	0.339687	0.997492	0.00192889	0.784541	0.134467	0.381404	0.00550573	0.638625	0.289653	0.443386	0.103752	0.29333	0.659828	0.148545	0.215512	0.401167	10.026
47	-22049.3	-21975.4	-73.92	1.18049	0.517115	0.691339	1.1381	1.0027	0.340596	1.07368	0.00107884	0.877055	0.178312	0.444113	0.0043307	0.64565	0.137428	0.412522	0.1353	0.532777	0.613054	0.148545	0.208077	0.209634	10.4919
48	-22049.2	-21976.4	-72.8284	1.12024	0.554909	0.697146	1.23639	0.890159	0.284121	1.20343	0.00028828	0.863641	0.148131	0.43929	0.00213506	0.506995	0.215927	0.447637	0.285136	0.465643	0.495408	0.115685	0.121459	0.288979	10.3827
49	-22053.1	-21976.9	-76.1492	1.31095	0.597807	0.730695	1.32011	0.974523	0.235722	0.915178	0.00112203	0.962606	0.125635	0.45732	0.00202499	0.542556	0.198835	0.467605	0.371195	0.409304	0.582603	0.019291	0.11134	0.378401	10.7148
50	-22052.9	-21980.2	-72.6686	1.14146	0.543286	0.600436	1.2631	0.924544	0.314345	0.995379	0.00119647	0.93972	0.163471	0.404333	0.00593392	0.651968	0.212989	0.450849	0.256249	0.623788	0.470114	0.0624887	0.179999	0.161111	10.3668
51	-22046.7	-21972.8	-73.8844	1.07109	0.645078	0.720955	1.23532	0.976785	0.366501	0.922237	0.000759131	0.941412	0.20717	0.447949	0.00377566	0.656516	0.144501	0.406826	0.0884943	0.428164	0.465965	0.115429	0.234313	0.409098	10.4883
